诉求标题,诉求类型,所属区域,诉求内容,承办单位,办理期限
关于东城区路灯损坏的投诉,城市管理,东城区,东城区建国门街道附近路灯损坏，夜间出行不便存在安全隐患,城市管理委员会,7
公交站候车亭破损问题,交通运输,朝阳区,朝阳区大望路公交站候车亭玻璃破损影响市民候车,交通委员会,5
小区物业管理投诉,住房建设,海淀区,海淀区中关村某小区物业服务差楼道卫生长期不打扫,住房和城乡建设委员会,10
社保缴费查询问题,劳动社保,西城区,市民反映社保缴费记录查询不到多次拨打社保电话打不通,人力资源和社会保障局,3
学校周边交通拥堵问题,教育文化,丰台区,丰台区某小学上下学时段校门口交通拥堵严重学生安全隐患大,教育委员会,10
医院排队挂号难问题,医疗卫生,通州区,通州区某医院挂号难预约挂号系统经常崩溃现场排队时间太长,卫生健康委员会,7
工地噪音扰民投诉,环境保护,石景山区,石景山区某工地夜间施工噪音大影响周边居民休息,生态环境局,3
超市价格欺诈投诉,市场监管,昌平区,昌平区某超市标价与结算价格不一致涉嫌价格欺诈,市场监督管理局,10
道路坑洼不平问题,城市管理,朝阳区,朝阳区望京地区多条道路坑洼不平下雨天积水严重影响通行,城市管理委员会,7
地铁线路运营时间调整建议,交通运输,海淀区,建议地铁13号线延长运营时间方便晚归市民出行,交通委员会,15
房屋漏水维修问题,住房建设,东城区,东城区某老小区房屋漏水多次报修物业不给维修,住房和城乡建设委员会,10
餐厅卫生问题,医疗卫生,西城区,西城区某餐厅卫生条件差食品安全存卫生隐患,市场监督管理局,7
公园设施老化问题,城市管理,朝阳区,朝阳区朝阳公园内部分健身器材老化损坏存在安全隐患,城市管理委员会,5
违章建筑拆除问题,住房建设,海淀区,海淀区某小区内有多处违章建筑影响小区环境,住房和城乡建设委员会,15
环境污染问题投诉,环境保护,丰台区,丰台区某工厂排放废气周边居民反映气味刺鼻,生态环境局,7
